1 - GARBE;;;;;;;;;;;;;;;;;
IMMOBILIE LISTE;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Stichtag;;;04.05.2026;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Mand;Port;Immo;Bezeichnung;Vehikel;Strasse;Hausnummer;PLZ;Ort;Land;Währung *;Fläche *;Zeitbezug *;Finanzierungsmodell *;gültig von;gültig bis;Nummer Mandant Extern;Zusätzliche Kostenstellen?
1;1432045618;7017;Heppenheim I;GLIFPLUSIII;An der Autobahn;1;64646;Heppenheim;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1432045618;7018;Kassel;GLIFPLUSIII;Falderbaumstraße;37;34123;Kassel;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1432045618;7019;Markgröningen - Zeppelinstraße 36;GLIFPLUSIII;Zeppelinstraße;36;71706;Markgröningen;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1432045618;7020;Mülheim;GLIFPLUSIII;Weseler Str;91-101;45478;Mülheim an der Ruhr;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1432045618;7021;Troisdorf;GLIFPLUSIII;Brüsseler Straße;5;53842;Troisdorf;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1432045618;7022;Wunstorf - Im Stadtfelde 8-12;GLIFPLUSIII;Im Stadtfelde;8-12;31515;Wunstorf;Deutschland;€;m²;Monat;;01.09.2022;;29.00;
1;1432045618;7024;Heppenheim IV;GLIFPLUSIII;An der Autobahn;4;64646;Heppenheim;Deutschland;€;m²;Monat;;01.05.2023;;29.00;
1;1432045618;7026;Heppenheim III;GLIFPLUSIII;An der Autobahn;3;64646;Heppenheim;Deutschland;€;m²;Monat;;01.05.2023;;29.00;
1;1435802613;3002;Waalwijk, Biesbosweg 4-6;HPV;Biesbosweg;4-6;5145PZ;Waalwijk;Niederlande;€;m²;Monat;;01.01.2022;;27.00;
1;1435802613;3005;Waalwijk, Van Harenstraat 1-1a;HPV;Van Harenstraat;1-1a;5145RH;Waalwijk;Niederlande;€;m²;Monat;;01.01.2022;;27.00;
1;1467553503;434;Duisburg - Europaallee 10;GIANT;Europaallee;10;47229;Duisburg;Deutschland;€;m²;Monat;;01.01.2018;;15.00;
1;1470113693;108;Emsdetten - Gutenbergstr. 1;MATTERHORN;Gutenbergstraße;1;48282;Emsdetten;Deutschland;€;m²;Monat;;01.01.2020;;21.00;
1;1470113693;199;Emsdetten - Gutenbergstr. 1 BVO;MATTERHORN;Gutenbergstraße;1;48282;Emsdetten;Deutschland;€;m²;Monat;;01.12.2022;;;
1;147038868;120;Kiel;MATTERHORN;Dr Hell-Straße;6;24107;Kiel;Deutschland;€;m²;Monat;;01.01.2021;;14.00;
1;1497609727;5003;Falkensee;GIG;Chemnitzer Str;8-10;14612;Falkensee;Deutschland;€;m²;Monat;;26.03.2021;;16.00;
1;1526997409;409;WCC Norderstedt;GIANT;Niendorferstraße;172;22848;Norderstedt;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;1528031466;1003;Beselich;GLIFPLUSII;Hans-Harald-Grebe-Straße;4;65614;Beselich;Deutschland;€;m²;Monat;;01.01.2023;;28.00;
1;153046453;414;Norderstedt Schützenwall;GIANT;Schützenwall;31-35;22844;Norderstedt;Deutschland;€;m²;Monat;;01.09.2025;;15.00;
1;153448380;106;Eching;MATTERHORN;Dieselstr;12;85386;Eching;Deutschland;€;m²;Monat;;01.01.2020;;14.00;
1;1552422887;437;Emsdetten - Hollefeldstraße 63;GIANT;Hollefeldstraße;63;48282;Emsdetten;Deutschland;€;m²;Monat;;16.10.2020;;15.00;
1;1560505101;943;Dortmund - Warmbreitbandstr. 6;EhemalsRasmala;Warmbreitbanstraße;6;44145;Dortmund;Deutschland;€;m²;Monat;;21.12.2017;;;
1;1560505101;944;Almelo, Darwin 8;EhemalsRasmala;Darwin;8;6709 RL;Almelo;Niederlande;€;m²;Monat;;01.04.2019;;;
1;1568868225;179;Ensisheim;MATTERHORN;Avenue de l´Europe - ZAC de la Plaine d´Alsac;11;68190;Ensisheim;Frankreich;€;m²;Monat;;01.12.2020;;14.00;
1;1606567694;419;Bremen - Hans-Bredow-Str. 44;GIANT;Hans-Bredow-Str;44;28307;Bremen;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;1608214286;416;Bremen - Walter-Geerdes-Str. 22;GIANT;Walter-Geerdes-Str;22;28307;Bremen;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;1659850504;4092;Bielefeld Parkplatz;UIIGARBENONGENO;Teltower Straße;15;33719;Bielefeld;Deutschland;€;m²;Monat;;27.11.2020;;22.00;
1;1663943479;7103;Buggingen;GLIFPLUSIII;Breitenweg;35;79426;Buggingen;Deutschland;€;m²;Monat;;01.12.2022;;;
1;1692048489;2101;Ludwigsau;ARES;Im Fuldatal;6-8;36251;Ludwigsau;Deutschland;€;m²;Monat;;20.12.2023;;;
1;1715530697;7102;Rheinberg;GLIFPLUSIII;Hubert-Underberg-Allee;1;47495;Rheinberg;Deutschland;€;m²;Monat;;01.12.2022;;;
1;1728924923;1061;Flechtorf;GLIFPLUSII;Nikolaus-Otto-Straße;10a;38165;Lehre;Deutschland;€;m²;Monat;;01.07.2021;;28.00;
1;1735889806;433;Werne;GIANT;Wahrbrink;25;59368;Werne;Deutschland;€;m²;Monat;;30.04.2018;;15.00;
1;1757374234;4002;Cloppenburg;UIIGARBENONGENO;Brookweg;55-57;49661;Cloppenburg;Deutschland;€;m²;Monat;;01.12.2020;;22.00;
1;1764205832;426;Rotterdam, Oliphantweg 10;GIANT;Oliphantenweg;10;3197;LE Rotterdam;Niederlande;€;m²;Monat;;01.12.2016;;15.00;
1;1764244057;1066;Maastricht, Ierlandlaan;GLIFPLUSII;Ierlandlaan;1;6199 AR;Maastricht Airport;Niederlande;€;m²;Monat;;17.07.2023;;28.00;
1;1769881073;413;Salzgitter;GIANT;Linke-Hoffmann-Busch-Str;2;38226;Salzgitter;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;177039082;7109;Magdeburg;GLIFPLUSIII;Appendorfer Weg;8;39171;Sülzetal;Deutschland;€;m²;Monat;;01.12.2022;;;
1;1773162362;110;Moosburg II;MATTERHORN;Degernpoint K;5;85368;Moosburg a.d. Isar;Deutschland;€;m²;Monat;;01.01.2021;;14.00;
1;1800367273;5021;Mäder;GIG;Gewerbestraße;10;6841;Mäder;Österreich;€;m²;Monat;;01.12.2023;;;
1;1801284795;6007;Bodenheim;BrookfieldJV;Lange Ruthe;13;55294;Bodenheim;Deutschland;€;m²;Monat;;01.07.2024;;;
1;1802333371;5010;Kaltenkirchen;DEVFUND;Werner-von-Siemens-Straße;10;24568;Kaltenkirchen;Deutschland;€;m²;Monat;;20.11.2023;;;
1;1806266886;2003;Moerdijk, Transitoweg 1a & 3;TRIUVA;Transitoweg a &;1a & 3;4782 SM;Moerdijk;Niederlande;€;m²;Monat;;01.09.2020;;12.00;
1;1806266886;2004;Moerdijk, Graanweg 4;TRIUVA;Graanweg;4;4782 PP;Moerdijk;Niederlande;€;m²;Monat;;01.09.2020;;12.00;
1;1806266886;2005;Moerdijk, Tradeboulevard 5;TRIUVA;Tradeboulevard;5;4761 RL;Moerdijk;Niederlande;€;m²;Monat;;01.09.2020;;12.00;
1;1811836073;6005;Coswig;BrookfieldJV;Emil-Herrmann-Nacke-Str;7;01640;Coswig;Deutschland;€;m²;Monat;;01.07.2024;;;
1;1818571912;3001;Wien - Warneckestr. 10;HPV;Warneckestraße;10;1110;Wien;Österreich;€;m²;Monat;;01.09.2020;;17.00;
1;1818571912;3003;Wien - Warneckestr. 7;HPV;Warneckestraße;7;1110;Wien;Österreich;€;m²;Monat;;01.01.2021;;17.00;
1;1818571912;3004;Duisburg - Zum Containerterminal 1;HPV;Zum Containerterminal;1;47119;Duisburg;Deutschland;€;m²;Monat;;01.12.2020;;17.00;
1;1818571912;3006;Ansbach;HPV;Faunstraße;6;91522;Ansbach;Deutschland;€;m²;Monat;;01.04.2022;;17.00;
1;1823853816;6001;Wörth;BrookfieldJV;Siemensstraße a;2;84109;Wörth;Deutschland;€;m²;Monat;;01.07.2024;;;
1;1834299286;485;Krananlagen Stuttgart, BVO Isernhagen;GIANT;Wernerstraße;119-129;70435;Stuttgart;Deutschland;€;m²;Monat;;01.04.2004;;;
1;1840053389;1001;Essen - Bonifaciusstr./Rotth. Str.48;GLIFPLUSII;Bonifaciusstr/Rotthauser Str;1 / 48;45309;Essen;Deutschland;€;m²;Monat;;11.09.2020;;18.00;
1;1840053389;1005;Karlsfeld;GLIFPLUSII;Einsteinstraße;2;85757;Karlsfeld;Deutschland;€;m²;Monat;;01.01.2021;;18.00;
1;1840053389;1006;Ottendorf;GLIFPLUSII;Bergener Ring;10;01458;Ottendorf-Okrilla;Deutschland;€;m²;Monat;;01.03.2021;;18.00;
1;1840053389;1007;Norderstedt - Oststraße 1c;GLIFPLUSII;Oststraße;1c;22844;Norderstedt;Deutschland;€;m²;Monat;;30.01.2021;;18.00;
1;1840053389;1008;Veenendaal, Arsenaal;GLIFPLUSII;Arsenaal;2;3905 NN;Veenendaal;Niederlande;€;m²;Monat;;01.04.2021;;18.00;
1;1840053389;1009;Hamburg - Neuer Höltigbaum 6;GLIFPLUSII;Neuer Höltigbaum;6;22143;Hamburg;Deutschland;€;m²;Monat;;17.04.2021;;18.00;
1;1840053389;1010;Bisingen;GLIFPLUSII;Conrad-Röntgen-Straße;4;72406;Bisingen;Deutschland;€;m²;Monat;;01.01.2022;;18.00;
1;1840053389;1011;Neustadt an der Donau;GLIFPLUSII;Raffineriestraße;1;93333;Neustadt an der Donau;Deutschland;€;m²;Monat;;19.02.2022;;18.00;
1;1840053389;1012;Rijsbergen, Treeport;GLIFPLUSII;Treeport;1-5;4891 PZ;Rijsbergen;Niederlande;€;m²;Monat;;22.02.2022;;18.00;
1;1840053389;1013;Arnhem, Delta;GLIFPLUSII;Delta;132-134;6825 MV;Arnhem;Niederlande;€;m²;Monat;;24.03.2022;;18.00;
1;1840053389;1014;Frankfurt Cargo City;GLIFPLUSII;Cargo City Süd Gebäude;579;60549;Frankfurt am Main;Deutschland;€;m²;Monat;;01.07.2022;;18.00;
1;1840053389;1015;Kelsterbach;GLIFPLUSII;Mönchhofallee;1;65451;Kelsterbach;Deutschland;€;m²;Monat;;01.04.2022;;18.00;
1;1840053389;1016;Rieste - Niedersachsenpark Halle 1;GLIFPLUSII;Hannoversche Straße;7;49597;Rieste;Deutschland;€;m²;Monat;;01.01.2022;;18.00;
1;1840053389;1018;Rieste - Niedersachsenpark Halle 3;GLIFPLUSII;Hannoversche Straße;4;49597;Rieste;Deutschland;€;m²;Monat;;01.06.2022;;18.00;
1;1840053389;1019;Berlin-Reinickendorf - Lange Enden 1;GLIFPLUSII;Lange Enden;1;13437;Reinickendorf;Deutschland;€;m²;Monat;;07.01.2023;;18.00;
1;1856596037;729;Wien - IZ-Nö-Süd Str. 16;GLIF;Straße  Objekt;16;2355;Wien;Österreich;€;m²;Monat;mit Stufen;01.01.2020;;50.00;
1;190238362;489;Nittendorf BV;GIANT;Deuerlinger Straße;48;93152;Nittendorf;Deutschland;€;m²;Monat;;01.01.2021;;;
1;1905672882;4004;Meßkirch;UIIGARBEGENO;Kapellenstraße/Planstraße;;88605;Meßkirch;Deutschland;€;m²;Monat;;01.01.2020;;19.00;
1;1910240953;4007;Tilburg, Brakman;UIIGARBEGENO;Brakman;50-52;5047 SW;Tilburg;Niederlande;€;m²;Monat;;01.04.2021;;19.00;
1;1913192070;422;Isernhagen;GIANT;Chromstraße/Eisenstraße;18 / 19;30916;Isernhagen;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;1924942336;6004;Müllendorf;BrookfieldJV;Eisenstädter Str.;;7052;Müllendorf;Österreich;€;m²;Monat;;01.07.2024;;;
1;1941737088;101;Kempen;MATTERHORN;Industriering-Ost;93;47906;Kempen;Deutschland;€;m²;Monat;;01.01.2020;;21.00;
1;1958696918;114;WCC Leipzig - Schkeuditz;MATTERHORN;Hans-Wittwer-Str;6;04435;Schkeuditz;Deutschland;€;m²;Monat;;01.05.2020;;21.00;
1;1991111077;411;Mannheim;GIANT;Spreewaldallee;29;68309;Mannheim;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;1996330784;4008;Venlo, M de Vriesstraat;UIIGARBEGENO;Maarten de Vriesstraat;3;5975 RW;Venlo;Niederlande;€;m²;Monat;;01.04.2021;;;
1;2007367368;6006;Stapelfeld;BrookfieldJV;Meiendorfer Amtsweg;5;22145;Stapelfeld;Deutschland;€;m²;Monat;;01.07.2024;;;
1;2023470397;4011;Emden;UIIGARBENONGENO;Polderweg;18;26723;Emden;Deutschland;€;m²;Monat;;01.10.2021;;22.00;
1;2028352866;407;Duisburg - Bremenhavener Str. 5;GIANT;Bremerhavener Str / Europaallee;5 / 16;47229;Duisburg;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;2028352952;403;Duisburg - Hamburger Str. 40;GIANT;Hamburger Str;40;47229;Duisburg;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;2050985087;8001;Almere;ARES;Hameiweg;10;1332CB;Almere;Niederlande;€;m²;Jahr;mit Stufen;;;;
1;2064207163;436;Oberkrämer;GIANT;Im Gewerbepark;32;16727;Oberkrämer;Deutschland;€;m²;Monat;;26.01.2021;;15.00;
1;2089982546;1060;Aalsmeer, Braziliëlaan;GLIFPLUSII;Braziliëlaan;23;1432 DG;Aalsmeer;Niederlande;€;m²;Monat;;14.07.2023;;28.00;
1;2097228699;7005;Varel;GLIFPLUSIII;Aeropark;4;26316;Varel;Deutschland;€;m²;Monat;ohne Stufen;01.01.2023;;29.00;
1;216774656;488;BVO Oberkrämer;GIANT;Im Gewerbepark;32;16727;Oberkrämer;Deutschland;€;m²;Monat;;01.01.2022;;;
1;21866509;7006;Wroclaw (PL) ;GLIFPLUSIII;Nowa;27;55-080;Nowa Wies Wroclawska (Katy Wroclawskie);Polen;€;m²;Monat;;30.09.2022;;29.00;
1;230376083;429;Roosendaal, g29;GIANT;Borchwerf;27;4704;RG Roosendaal;Niederlande;€;m²;Monat;;01.12.2016;;15.00;
1;230376435;428;GIANT Roosendaal g28 B.V;GIANT;Borchwerf;25;4704;RG Roosendaal;Niederlande;€;m²;Monat;;01.12.2016;;15.00;
1;238768241;4009;Kaiserslautern;UIIGARBEGENO;Marie-Curie-Str;6;67661;Kaiserslautern;Deutschland;€;m²;Monat;;01.07.2021;;19.00;
1;251322243;442;Nittendorf;GIANT;Deuerlinger Straße;48;93152;Nittendorf;Deutschland;€;m²;Monat;;01.01.2021;;15.00;
1;252619740;1002;Regensburg;GLIFPLUSII;Bukarester Straße;11;93055;Regensburg;Deutschland;€;m²;Monat;;01.01.2023;;28.00;
1;261721429;418;Berlin - Auguste-Viktoria-Allee 12-13;GIANT;August-Viktoria-Allee;12-13;13403;Berlin;Deutschland;€;m²;Monat;;01.12.2016;;15.00;
1;268914321;987;Mettmann;DEVFUND;Wülfrather Straße;;40822;Mettmann;Deutschland;€;m²;Monat;;01.06.2024;;;
1;274318727;7030;Ramstein;GLIFPLUSIII;Industriestraße;2;66877;Ramstein;Deutschland;€;m²;Monat;;01.01.2023;;29.00;
1;295260099;239;Holzgerlingen;DEVFUND;Daimlerstr;11-13;71038;Holzgerlingen;Deutschland;€;m²;Monat;;01.07.2021;;;
1;3029;4013;Castel San Pietro Terme (Bologna);UIIGARBEGENO;via Henry Ford;7-9;40024;Bologna;Italien;€;m²;Monat;mit Stufen;02.12.2022;;;
1;3029;4018;Tortona (AL);UIIGARBEGENO;Strata Statale;10;15057;Tortona;Italien;€;m²;Monat;mit Stufen;19.04.2023;;;
1;3032;5016;Duisburg - Hamborner Str. 30-34;GIG;Hamborner Straße;30;47137;Duisburg;Deutschland;€;m²;Monat;mit Stufen;01.04.2025;;;
1;3033;4017;Poznan VIDA XL;UIIGARBEGENO;Chocicza Mala;29;62-300;Wrzesnia;Polen;€;m²;Monat;mit Stufen;23.09.2022;;;
1;3034;579;Kottingbrunn;GIG;Lise-Meitner-Straße;2;2542;Kottingbrunn;Österreich;€;m²;Monat;mit Stufen;28.03.2024;;;
1;3036;246;Garbsen - Flemmingstraße 10;DEVFUND;Flemmingstraße;10;;Garbsen;Deutschland;€;m²;Monat;mit Stufen;01.12.2024;;;
1;311521137;232;Darmstadt;DEVFUND;Mainzer Str;55;64293;Darmstadt;Deutschland;€;m²;Monat;;01.06.2019;;;
