Fonds;"Immobilie
Numer";"Immobilie
Bezeichnung";GARBE Niederlassung;;Mieteinheit;Art;Stockwerk;Anzahl Stellplätze;Fläche;;Lease ID;Mietername;Mietbeginn;vereinbartes Vertragsende;Vertragsende (Kündigung);tatsächliches Vertragsende;Sonderkündigung Frist;Sonderkündigung zum;Kündigung Frist;Kündigung zum;Laufzeit Option;Frist Optionsziehung;MV-Ende nach Optionsziehung;Anzahl weiterer Optionen;maximale Mietlaufzeit;WAULT;WAULB;WAULE;;Jahresnettomiete;Nettomiete;Investitionsmiete;Ende mietfreie Zeit;Betrag mietfreie Zeit;Marktmiete;AM-ERV;Potenzial;Nettomiete;Marktmiete;AM-ERV;;NKVZ;NK-Pauschale;NKVZ;NK-Pauschale;Gesamtnettomiete;Gesamtnettomiete;Mieter UST-pflichtig;;proz. Mieterhöhung;Erhöhungs-Prozentsatz;nächste Erhöhung;Erhöhungszyklen;;Indexmieterhöhung;Wertsicherung Art;Schwellwert;Datum;Weitergabe;Green Lease
;;;;;;;;Stück;m²;;;;;;;;;;;;Monate;;;;;Jahre;Jahre;Jahre;;€/Jahr;€/Mt;€/Mt;;€/Mt;€/Mt;€/Mt;%;€/m²/a;€/m²/a;€/m²/a;;€/Mt;€/Mt;€/m²/a;€/m²/a;€/Mt;€/m²/a;;;;;;;;;;;;%;
GLIFPLUSII;1003;Beselich;Frankfurt;;10001;Empore/Mezzanine;EG;;2'205;;1003.00001;BRITA SE;29.05.2020;29.05.2030;29.05.2030;29.05.2030;;;;;;;;0;;4.11;;;;82'189;6'849;;29.05.2030;-686;6'858;;0.1%;37.27;37.32;;;894;69;4.86;0.37;7'811;42.51;1;;false;;;;;true;Datum;;01.09.2026;100%;0
GLIFPLUSII;1003;Beselich;Frankfurt;;20000;Büro;EG;;1'301;;1003.00001;BRITA SE;29.05.2020;29.05.2030;29.05.2030;29.05.2030;;;;;;;;0;;4.11;;;;164'877;13'740;;29.05.2030;-686;11'059;;-19.5%;126.73;102.00;;;527;137;4.86;1.27;14'404;132.86;1;;false;;;;;true;Datum;;01.09.2026;100%;0
GLIFPLUSII;1003;Beselich;Frankfurt;;50000;Stellplätze;EG;35;;;1003.00001;BRITA SE;29.05.2020;29.05.2030;29.05.2030;29.05.2030;;;;;;;;0;;;;;;;;;;;;0;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
GLIFPLUSII;1003;Beselich;Frankfurt;;50001;Stellplätze;EG;5;;;1003.00001;BRITA SE;29.05.2020;29.05.2030;29.05.2030;29.05.2030;;;;;;;;0;;;;;;;;;;;;0;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
1003 - Beselich, Hans-Harald-Grebe-Straße 4;;;;;;;;40;14'804;;;;;;;;;;;;;;;;;4.11;;;;912'437;76'036;;;-2'057;80'055;0;5.3%;61.63;64.89;0.00;;6'000;760;4.86;0.62;82'797;67.11;100.00%;;;;;;;;;;;;
GLIFPLUSII;1004;Flieden;Frankfurt;;10000;Halle;EG;;39'860;;1004.00001;Friedrich Zufall GmbH & Co. KG;23.12.2020;11.01.2031;;11.01.2031;;;;;36;11.01.2030;11.01.2034;2;11.01.2040;4.72;;;;2'052'443;171'037;;;;219'230;143'017;28.2%;51.49;66.00;43.06;;27'419;1'710;8.25;0.51;200'167;60.26;1;;false;;;;;true;Datum;;01.09.2026;100%;0
GLIFPLUSII;1004;Flieden;Frankfurt;;10001;Halle;EG;;3'820;;1004.00001;Friedrich Zufall GmbH & Co. KG;23.12.2020;11.01.2031;;11.01.2031;;;;;36;11.01.2030;11.01.2034;2;11.01.2040;4.72;;;;114'028;9'502;;;;9'283;7'946;-2.3%;29.85;29.16;24.96;;2'628;95;8.25;0.30;12'225;38.40;1;;false;;;;;true;Datum;;01.09.2026;100%;0
GLIFPLUSII;1004;Flieden;Frankfurt;;20000;Büro;EG;;805;;1004.00001;Friedrich Zufall GmbH & Co. KG;23.12.2020;11.01.2031;;11.01.2031;;;;;36;11.01.2030;11.01.2034;2;11.01.2040;4.72;;;;180'303;15'025;;;;6'843;12'564;-54.5%;223.98;102.00;187.29;;554;150;8.25;2.24;15'729;234.47;1;;false;;;;;true;Datum;;01.09.2026;100%;0
GLIFPLUSII;1004;Flieden;Frankfurt;;20001;Büro;EG;;733;;1004.00001;Friedrich Zufall GmbH & Co. KG;01.01.2026;11.01.2031;;11.01.2031;;;;;36;11.01.2030;11.01.2034;2;11.01.2040;4.72;;;;14'843;1'237;;;;;;-100.0%;20.25;;;;504;12;8.25;0.20;1'754;28.71;1;;false;;;;;true;Datum;;01.09.2026;100%;0
GLIFPLUSII;1004;Flieden;Frankfurt;;50000;Stellplätze;EG;128;;;1004.00001;Friedrich Zufall GmbH & Co. KG;23.12.2020;11.01.2031;;11.01.2031;;;;;36;11.01.2030;11.01.2034;2;11.01.2040;;;;;;;;;;;0;-100.0%;;;;;0;;;;0;;1;;false;;;;;true;;;;;0
